name,date
Красные Ворота,15.05.1935
Сухаревская,05.01.1972
Тропарёво,08.12.2014
Нижегородская,10.09.2016
Новопеределкино,30.08.2018
Академическая,13.10.1962
Арбатская,15.05.1935
Окружная,10.09.2016
Киевская,20.03.1937
Жулебино,09.11.2013
Полянка,23.01.1986
Стрешнево,10.09.2016
Автозаводская,01.01.1943
Кутузовская,07.11.1958
Некрасовка,03.06.2019
Деловой центр,26.02.2018
Измайлово,10.09.2016
Новаторская,07.12.2021
Каширская,11.08.1969
Нагатинская,08.11.1983
Строгино,07.01.2008
Люблино,25.12.1996
Петровско-Разумовская,01.03.1991
Кропоткинская,15.05.1935
Проспект Вернадского,30.12.1963
Солнцево,30.08.2018
Охотный Ряд,15.05.1935
Шоссе Энтузиастов,10.09.2016
Спартак,27.08.2014
Алтуфьево,15.07.1994
Народное Ополчение,01.04.2021
Говорово,30.08.2018
Бунинская аллея,27.12.2003
Международная,30.08.2006
Битцевский парк,27.02.2014
Кожуховская,28.12.1995
Авиамоторная,30.12.1979
Лесопарковая,27.02.2014
Окская,27.03.2020
Стахановская,27.03.2020
Телецентр,20.11.2004
Воронцовская,07.12.2021
Шипиловская,02.12.2011
Ростокино,10.09.2016
Фили,07.11.1959
Шаболовская,06.11.1980
Парк культуры,01.01.1950
Окружная,22.03.2018
Лубянка,15.05.1935
Дубровка,11.12.1999
Фрунзенская,01.05.1957
Арбатская,05.04.1953
Авиамоторная,27.03.2020
Добрынинская,01.01.1950
Бутырская,16.09.2016
Кузьминки,31.12.1966
Бульвар Рокоссовского,01.08.1990
Южная,08.11.1983
Борисово,02.12.2011
Волгоградский проспект,31.12.1966
Улица Скобелевская,27.12.2003
Ленинский проспект,13.10.1962
Коптево,01.11.2016
Партизанская,18.01.1944
Улица Милашенкова,20.11.2004
Сокол,11.09.1938
Кузнецкий Мост,17.12.1975
Третьяковская,25.01.1986
Волоколамская,26.12.2009
Алма-Атинская,24.12.2012
Деловой центр,10.09.2016
Аэропорт,11.09.1938
Пушкинская,17.12.1975
Котельники,21.09.2015
Ховрино,31.12.2017
Петровско-Разумовская,16.09.2016
Нахимовский проспект,08.11.1983
Красносельская,15.05.1935
Войковская,31.12.1964
Площадь Гагарина,10.09.2016
Новые Черёмушки,13.10.1962
Планерная,30.12.1975
Парк культуры,15.05.1935
Савёловская,31.12.1988
Дубровка,11.10.2016
Ольховая,20.06.2019
Марьино,25.12.1996
Озёрная,30.08.2018
Улица Академика Янгеля,31.08.2000
Улица Академика Королёва,20.11.2004
Волжская,28.12.1995
Рассказовка,30.08.2018
Октябрьская,01.01.1950
Царицыно,30.12.1984
Беговая,30.12.1972
Беляево,12.08.1974
Дмитровская,01.03.1991
Улица Сергея Эйзенштейна,20.11.2004
Саларьево,15.02.2016
Павелецкая,20.11.1943
Братиславская,25.12.1996
Таганская,01.01.1950
Лефортово,27.03.2020
Панфиловская,08.11.2016
Бибирево,31.12.1992
